Batch,RunID,tfront_time,tback_time,tfront_delay,tback_delay,ifront_time,iback_time,ifront_delay,iback_delay,front_time_pct,back_time_pct,front_delay_pct,back_delay_pct
2296,45917,22.7,29.4,2.3,9.3,21.5,21.5,1.1,1.2,5.286343612334799,26.870748299319725,52.17391304347825,87.0967741935484
2385,47693,23.3,25.6,1.5,4.7,23.3,21.6,1.5,0.5,0.0,15.625,0.0,89.36170212765957
2031,40612,24.6,20.7,1.7,1.3,24.2,20.0,1.3,0.0,1.62601626016261,3.3816425120772915,23.529411764705877,100.0
1817,36333,21.1,19.5,0.9,1.6,21.1,18.2,0.9,0.3,0.0,6.6666666666666705,0.0,81.25
780,15599,24.2,24.0,4.9,4.2,20.7,21.9,1.4,2.1,14.462809917355374,8.750000000000007,71.42857142857143,50.0
2424,48466,20.9,23.0,1.0,2.5,20.9,22.3,1.0,1.4,0.0,3.0434782608695623,0.0,44.00000000000001
1310,26186,22.0,22.1,3.5,1.7,19.9,22.0,0.6,1.6,9.545454545454552,0.4524886877828118,82.85714285714285,5.882352941176463
1741,34818,22.5,21.5,1.6,1.7,21.7,20.3,0.8,0.3,3.555555555555559,5.581395348837206,50.0,82.35294117647058
1559,31168,22.6,27.0,3.7,6.1,21.3,24.2,2.2,3.1,5.752212389380533,10.370370370370372,40.54054054054054,49.18032786885245
2019,40374,21.1,26.0,0.8,6.4,20.5,22.5,0.0,2.7,2.8436018957346034,13.461538461538462,100.0,57.8125
1100,21994,22.0,27.6,4.8,8.6,18.3,24.5,0.5,5.5,16.818181818181817,11.231884057971019,89.58333333333334,36.04651162790697
1728,34548,21.2,22.3,1.9,2.2,20.4,21.3,0.9,0.4,3.7735849056603805,4.484304932735426,52.63157894736842,81.81818181818183
2169,43371,20.2,19.7,1.0,2.6,19.3,19.3,0.1,2.2,4.455445544554449,2.030456852791871,90.0,15.38461538461538
783,15654,21.1,20.5,1.8,1.4,20.0,19.7,0.7,0.6,5.213270142180101,3.9024390243902474,61.111111111111114,57.14285714285714
1847,36928,19.6,21.2,0.0,1.9,19.6,20.9,0.0,1.2,0.0,1.4150943396226447,,36.84210526315789
